,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,overfit_factor
1513,0.3018007755279541,0.013618488155146158,0.012447977066040039,0.001182672496809872,7,11,140,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 140}",0.6944806605823556,0.6245110821382008,0.6401414677276747,0.636604774535809,0.7263483642793988,0.6644172698526878,0.039229124898531524,1785,1.0,0.9999174645097392,0.9999178172255095,0.9998356344510191,0.999945211483673,0.999923225533988,5.3126900213808715e-05,1.5049627258419809
1514,0.3229835510253906,0.011924477597770636,0.012784433364868165,0.0013969017381180355,7,11,150,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 150}",0.6740547588005215,0.6318991742720556,0.663129973474801,0.6520778072502211,0.7307692307692306,0.6703861889133659,0.03325257868616729,1010,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4916775084834424
1515,0.02522902488708496,0.0004871472913581485,0.0021938800811767576,0.00016386579533933732,7,12,10,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 10}",0.6605823554976098,0.5554106910039113,0.6162687886825818,0.5645446507515474,0.6494252873563219,0.6092463546583944,0.04288488593391997,4420,0.9897380873775724,0.9911962143721801,0.9891518737672583,0.9959182555336401,0.9893710278325664,0.9910750917766435,0.0025243251795478987,1.6267230557864254
1516,0.04788227081298828,0.0008377503083849429,0.0029648303985595702,0.00031019631911708497,7,12,20,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 20}",0.6888309430682312,0.6384180790960452,0.6091954022988506,0.6149425287356322,0.665340406719717,0.6433454719836952,0.03016600364359096,3581,0.9994497633982613,0.9989545504566963,0.996301775147929,0.9996712689020381,0.9971783914091606,0.9983111498628171,0.0013327458397844846,1.5517497104388078
1517,0.07111620903015137,0.0015620917407033793,0.0036172389984130858,0.00043835947279867893,7,12,30,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 30}",0.6644936983920036,0.6223381138635375,0.7329796640141467,0.6202475685234307,0.6954022988505748,0.6670922687287387,0.04323590994951634,1421,0.9997799053593045,0.9984593375151315,0.999835634451019,0.9999178172255095,0.9992055665132589,0.9994396522128447,0.0005508228276433699,1.4982030208766355
1518,0.09047284126281738,0.0018678443016410934,0.004273033142089844,0.0008074658643153668,7,12,40,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 40}",0.6823120382442416,0.6140808344198174,0.6746242263483643,0.616710875331565,0.7007073386383731,0.6576870625964724,0.03556557928924037,2544,0.9999724881699131,0.999587322548696,0.9993425378040763,0.9993425378040762,0.9999726057418366,0.9996434984137197,0.00028314526237444514,1.5199379085658808
1519,0.11082959175109863,0.003610880980065284,0.005521821975708008,0.0005720932852255984,7,12,50,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 50}",0.6431986093003041,0.6662320730117339,0.596816976127321,0.6030061892130858,0.6989389920424403,0.641638567938977,0.03845009389273562,3654,0.9999724881699131,0.9992296687575657,0.9996712689020382,0.9997534516765286,0.9998356344510191,0.999692502391413,0.0002518965945370621,1.5580305678982949
1520,0.13061909675598143,0.007139788412325135,0.00641632080078125,0.0004924727446307115,7,12,60,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 60}",0.6888309430682311,0.6514558887440243,0.6825817860300618,0.5985853227232537,0.7449160035366932,0.6732739888204529,0.047990954400363044,677,1.0,0.999559810718609,0.9999726057418366,0.9996164803857112,0.9998082401928556,0.9997914274078024,0.00017936751987590664,1.484969631990973
1521,0.16216306686401366,0.005856856537763987,0.007346296310424804,0.001169064040379398,7,12,70,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 70}",0.6618861364624077,0.6010430247718384,0.623342175066313,0.649867374005305,0.709549071618037,0.6491375563847802,0.03685402493342165,3251,1.0,1.0,0.9994795090948938,0.9997260574183651,0.9999726057418366,0.9998356344510191,0.00020573069642249145,1.5402523311382101
1522,0.18793349266052245,0.0029371727228390903,0.007568359375,0.000896076708958203,7,12,80,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 80}",0.7122990004345937,0.6288570186875272,0.6534040671971706,0.6480990274093723,0.7206012378426173,0.6726520703142562,0.03677593186175445,744,1.0,1.0,0.9998904229673461,0.9996712689020381,1.0,0.9999123383738769,0.00012778768123704857,1.48652235308921
